# Rango analizado: 2024-09-01 a 2024-10-31
Dominio,IP
0e.si,114.32.120.11
0e.si,114.37.103.57
0e.si,114.37.115.54
0e.si,210.3.92.122
0e.si,37.116.192.39
0e.si,37.116.194.122
0e.si,37.116.198.90
0e.si,37.116.199.199
0e.si,61.228.185.41
0e.si,84.191.173.249
0e.si,86.32.100.232
0i.pm,203.186.28.189
0i.pm,59.15.11.49
0i.pm,67.163.141.233
0i.pm,79.16.42.129
0i.pm,79.37.56.90
0i.pm,82.59.106.227
0i.wf,151.40.231.116
0i.wf,151.83.97.117
0i.wf,178.221.107.30
0i.wf,178.221.252.198
0i.wf,83.34.126.229
0i.wf,86.131.150.69
0i.wf,86.172.157.79
0i.wf,86.172.237.139
0i.wf,87.122.241.152
0i.wf,88.130.94.119
0i.wf,88.130.94.218
0i.wf,88.130.94.254
0i.wf,88.130.94.64
0i.wf,93.86.126.210
0j.re,115.64.117.65
0j.re,120.88.155.218
0j.re,59.188.111.252
0j.wf,180.150.102.136
0j.wf,203.186.28.189
0j.wf,59.15.11.49
0j.wf,67.163.141.233
0j.wf,73.154.125.186
0j.wf,79.16.42.129
0j.wf,79.37.56.90
0j.wf,79.55.172.116
0j.wf,82.59.106.227
0p.rs,115.64.117.65
0p.rs,120.88.155.218
0p.rs,203.206.87.67
0p.rs,59.188.111.252
0t.yt,114.32.120.11
0t.yt,118.167.75.74
0t.yt,210.3.92.122
0t.yt,37.116.198.90
0t.yt,37.116.199.105
0t.yt,37.116.199.199
0t.yt,61.228.129.84
0t.yt,84.191.173.249
0t.yt,86.32.100.232
0t.yt,89.245.70.151
0v.wf,203.186.28.189
0v.wf,59.15.11.49
0v.wf,67.163.141.233
0v.wf,73.154.125.186
0v.wf,79.16.42.129
0v.wf,79.37.56.90
0v.wf,79.55.172.116
0w.pm,203.186.28.189
0w.pm,59.15.11.49
0w.pm,67.163.141.233
0w.pm,73.154.125.186
0w.pm,79.16.42.129
0w.pm,79.37.56.90
0w.pm,79.55.172.116
0w.pm,82.59.106.227
1i.pm,109.93.42.211
1i.pm,151.83.97.117
1i.pm,178.221.252.198
1i.pm,79.47.23.176
1i.pm,79.47.80.89
1i.pm,82.56.157.218
1i.pm,83.34.126.229
1i.pm,83.35.6.85
1i.pm,86.131.150.69
1i.pm,86.172.237.139
1i.pm,87.122.241.152
1i.pm,88.130.94.254
1i.pm,88.130.94.26
1i.pm,93.86.126.210
1j.pm,114.32.120.11
1j.pm,114.37.103.57
1j.pm,114.37.115.54
1j.pm,118.167.75.74
1j.pm,210.3.92.122
1j.pm,37.116.198.90
1j.pm,37.116.199.105
1j.pm,37.116.199.199
1j.pm,61.228.165.170
1j.pm,84.191.173.249
1j.pm,86.32.100.232
1j.pm,89.245.70.151
1k4.xyz,113.30.190.4
1k4.xyz,199.59.243.227
1k4.xyz,69.16.231.60
1k4.xyz,72.52.178.23
