# Rango analizado: 2025-05-01 a 2025-05-31
Dominio,IP
0i.pm,127.0.0.127
0i.pm,77.46.243.207
0i.wf,127.0.0.127
0i.wf,151.40.178.4
0j.re,127.0.0.127
0j.re,220.240.115.59
0j.wf,127.0.0.127
0j.wf,151.40.178.4
0w.pm,151.40.178.4
0w.pm,80.78.24.30
1i.pm,80.78.24.30
1j.pm,80.78.24.30
1k4.xyz,172.233.219.123
1k4.xyz,172.233.219.49
1k4.xyz,172.233.219.78
1u.pm,80.78.24.30
1u.pm,87.16.94.191
2i.pm,77.46.243.207
2i.pm,80.78.24.30
2t.pm,127.0.0.127
2t.pm,220.240.115.59
2t.wf,127.0.0.127
2t.wf,220.240.115.59
3e.pm,80.78.24.30
3h1.xyz,15.197.225.128
3h1.xyz,3.33.251.168
4j.pm,127.0.0.127
4j.pm,151.40.178.4
4q.pm,80.78.24.30
4s.pm,127.0.0.127
4s.pm,83.35.5.15
4w.pm,80.78.24.30
4w.wf,127.0.0.127
4w.wf,83.35.5.15
5qe8.com,220.240.115.59
5qe8.com,61.244.156.107
5qw.pw,13.248.213.45
5qw.pw,134.209.227.14
5qw.pw,76.223.67.189
5s.pm,5.81.49.23
5s.pm,80.78.24.30
5z.pm,220.240.115.59
5z.pm,80.78.24.30
6t.re,80.78.24.30
6w.re,80.78.24.30
6wr9.com,124.244.176.205
6wr9.com,87.16.94.191
6y.re,80.78.24.30
7yfb.com,151.40.178.4
7yfb.com,176.206.88.105
8t.pm,77.46.243.207
8t.pm,80.78.24.30
9r.re,77.46.243.207
9r.re,80.78.24.30
a0.pm,127.0.0.127
a0.pm,220.240.115.59
b3vv.com,220.240.115.59
b3vv.com,74.133.3.172
b9.pm,80.78.24.30
bcomb.net,83.35.5.15
bcomb.net,84.3.125.123
bo2sv.com,188.10.57.97
bo2sv.com,83.35.5.15
cb3u.com,220.240.115.59
cb3u.com,89.134.113.30
d0.wf,127.0.0.127
d0.wf,87.16.94.191
doem.re,80.78.24.30
e0.wf,127.0.0.127
e0.wf,151.40.178.4
euya.cn,104.21.112.1
euya.cn,104.21.16.1
euya.cn,104.21.32.1
euya.cn,104.21.48.1
euya.cn,104.21.64.1
euya.cn,104.21.80.1
euya.cn,104.21.96.1
eznb.net,84.3.125.123
fgcz.net,203.186.28.189
fgcz.net,220.240.115.59
g0.pm,127.0.0.127
getmyfile.link,139.162.174.209
getmyfile.link,139.162.181.76
getmyfile.link,172.104.149.86
getmyfile.link,172.104.251.198
h0.pm,127.0.0.127
h0.pm,87.16.94.191
h0.wf,127.0.0.127
h0.wf,220.240.115.59
h6.re,220.240.115.59
h6.re,80.78.24.30
i0.wf,127.0.0.127
i0.wf,151.40.178.4
i0up.com,77.46.243.207
i0up.com,93.86.179.162
i1.pm,124.244.176.205
i1.pm,80.78.24.30
i49.xyz,35.220.201.125
i49.xyz,35.241.95.51
i6n.xyz,13.248.213.45
i6n.xyz,134.209.227.14
i6n.xyz,76.223.67.189
j68.info,13.248.213.45
j68.info,76.223.67.189
jrtz.re,80.78.24.30
k0.pm,127.0.0.127
k5x.xyz,104.21.81.38
k5x.xyz,172.67.188.41
krrz.pm,80.78.24.30
l6nk.com,36.228.134.229
l6nk.com,83.35.5.15
ldnr.net,151.40.178.4
ldnr.net,188.10.57.97
lgf.pw,13.248.213.45
lgf.pw,134.209.227.14
lgf.pw,76.223.67.189
li1iv.com,203.186.28.189
li1iv.com,5.81.49.23
lwip.re,80.78.24.30
n9fz.com,119.236.244.98
n9fz.com,203.186.28.189
o7car.com,86.180.241.41
o7car.com,87.16.94.191
q0.pm,127.0.0.127
q0.wf,127.0.0.127
q0.wf,220.240.115.59
q2.rs,104.21.112.1
q2.rs,104.21.16.1
q2.rs,104.21.32.1
q2.rs,104.21.48.1
q2.rs,104.21.64.1
q2.rs,104.21.80.1
q2.rs,104.21.96.1
qji6.com,124.244.176.205
qji6.com,77.46.243.207
r0.pm,77.46.243.207
r0.pm,80.78.24.30
r0.wf,127.0.0.127
r0.wf,77.46.243.207
rn9v.com,124.244.176.205
rn9v.com,77.46.243.207
s0.pm,127.0.0.127
s0.pm,77.46.243.207
t0.wf,127.0.0.127
t0.wf,83.35.5.15
tiua.uk,34.132.102.6
tiua.uk,34.136.111.81
u0.pm,80.78.24.30
u8wp.com,151.40.178.4
u8wp.com,84.3.125.123
vn6.co,13.248.169.48
vn6.co,76.223.54.146
vqdn.net,151.51.167.193
vqdn.net,220.240.115.59
w0.pm,127.0.0.127
w0.pm,87.16.94.191
xtabr.com,109.149.60.172
y0.pm,127.0.0.127
y0.pm,151.40.178.4
zie5.com,151.83.80.215
zie5.com,77.46.243.207
﻿03s30.com,77.46.243.207
﻿03s30.com,86.101.243.183
