# Rango analizado: 2024-11-01 a 2024-12-31
Dominio,IP
0e.si,114.37.114.162
0e.si,210.3.92.122
0e.si,37.116.192.197
0e.si,37.116.193.21
0e.si,37.116.194.6
0e.si,84.191.173.249
0e.si,86.32.100.232
0i.pm,203.186.28.189
0i.pm,59.15.11.49
0i.pm,67.163.141.233
0i.pm,79.23.158.212
0i.pm,79.45.30.178
0i.wf,151.40.232.171
0i.wf,79.20.182.105
0i.wf,83.34.126.37
0i.wf,86.172.157.79
0i.wf,87.0.51.227
0i.wf,88.130.94.206
0i.wf,88.130.94.25
0i.wf,88.130.94.57
0j.re,220.240.115.59
0j.re,59.188.111.252
0j.wf,203.186.28.189
0j.wf,59.15.11.49
0j.wf,67.163.141.233
0j.wf,79.23.158.212
0j.wf,79.45.30.178
0j.wf,82.53.88.165
0p.rs,220.240.115.59
0t.yt,114.32.120.11
0t.yt,114.37.114.162
0t.yt,210.3.92.122
0t.yt,37.116.192.197
0t.yt,37.116.193.21
0t.yt,37.116.193.56
0t.yt,37.116.194.6
0t.yt,37.116.195.12
0t.yt,37.116.199.105
0t.yt,61.228.151.56
0t.yt,61.228.182.182
0t.yt,61.228.184.113
0t.yt,61.228.186.116
0t.yt,84.191.173.249
0t.yt,86.32.100.232
0v.wf,203.186.28.189
0v.wf,59.15.11.49
0v.wf,67.163.141.233
0v.wf,79.23.158.212
0v.wf,79.45.30.178
0v.wf,82.53.88.165
0w.pm,203.186.28.189
0w.pm,59.15.11.49
0w.pm,67.163.141.233
0w.pm,79.23.158.212
0w.pm,79.45.30.178
0w.pm,82.53.88.165
1i.pm,151.40.232.171
1i.pm,79.56.85.226
1i.pm,83.135.139.242
1i.pm,83.35.84.126
1i.pm,86.172.157.79
1i.pm,87.3.86.68
1i.pm,88.130.94.177
1i.pm,88.130.94.206
1j.pm,114.37.106.159
1j.pm,114.37.114.162
1j.pm,114.37.125.55
1j.pm,114.37.85.132
1j.pm,210.3.92.122
1j.pm,37.116.193.21
1j.pm,37.116.193.56
1j.pm,61.228.158.178
1j.pm,61.228.178.21
1j.pm,84.191.173.249
1j.pm,86.32.100.232
1u.pm,203.186.28.189
1u.pm,59.15.11.49
1u.pm,67.163.141.233
1u.pm,79.23.158.212
1u.pm,79.45.30.178
1u.wf,203.186.28.189
1u.wf,59.15.11.49
1u.wf,67.163.141.233
1u.wf,79.23.158.212
1u.wf,79.45.30.178
2i.nu,203.186.28.189
2i.nu,59.15.11.49
2i.nu,67.163.141.233
2i.nu,79.23.158.212
2i.nu,79.45.30.178
2i.nu,82.53.88.165
2i.pm,151.40.232.171
2i.pm,151.83.109.196
2i.pm,79.56.85.226
2i.pm,83.35.3.99
2i.pm,83.35.84.126
2i.pm,86.172.157.79
2i.pm,87.0.51.227
2i.pm,88.130.94.188
2i.pm,88.130.94.196
2i.pm,88.130.94.25
2i.wf,220.240.115.59
2i.wf,59.188.111.252
2t.pm,220.240.115.59
2t.pm,59.188.111.252
2t.wf,220.240.115.59
2t.wf,59.188.111.252
2yd.eu,114.32.120.11
2yd.eu,114.37.114.162
2yd.eu,114.37.87.72
2yd.eu,210.3.92.122
2yd.eu,84.191.173.249
2yd.eu,86.32.100.232
3e.pm,114.37.85.115
3e.pm,210.3.92.122
3e.pm,37.116.194.6
3e.pm,61.228.158.178
3e.pm,61.228.184.113
3e.pm,61.228.186.116
3e.pm,84.191.173.249
3e.pm,86.32.100.232
3h.wf,114.37.85.115
3h.wf,114.37.87.46
3h.wf,210.3.92.122
3h.wf,37.116.192.197
3h.wf,37.116.193.21
3h.wf,37.116.193.56
3h.wf,37.116.194.6
3h.wf,37.116.195.12
3h.wf,61.228.186.116
3h.wf,84.191.173.249
3h.wf,86.32.100.232
3h1.xyz,15.197.148.33
3h1.xyz,15.197.225.128
3h1.xyz,3.33.130.190
3h1.xyz,3.33.251.168
3z.nu,220.240.115.59
3z.nu,59.188.111.252
4j.pm,203.186.28.189
4j.pm,59.15.11.49
4j.pm,67.163.141.233
4j.pm,79.23.158.212
4j.pm,79.45.30.178
4j.pm,82.53.88.165
4k1.xyz,199.59.243.227
4m.wf,114.32.120.11
4m.wf,114.37.85.115
4m.wf,118.167.86.173
4m.wf,210.3.92.122
4m.wf,37.116.192.197
4m.wf,37.116.193.21
4m.wf,37.116.194.6
4m.wf,37.116.195.12
4m.wf,84.191.173.249
4m.wf,86.32.100.232
4n.wf,220.240.115.59
4n.wf,59.188.111.252
4q.pm,114.37.85.115
4q.pm,114.37.87.46
4q.pm,210.3.92.122
4q.pm,37.116.192.197
4q.pm,37.116.193.56
4q.pm,37.116.195.12
4q.pm,61.228.151.56
